DatGeracaoConjuntoDados;AnoLeilao;DatLeilao;NumLeilao;DscNumeroLeilaoCCEE;DscTipoLeilao;NomEmpreendimento;CodCEG;IdeNucleoCEG;SigTipoGeracao;DscFonteEnergia;DscDetalhamentoFonteEnergia;MdaPotenciaInstaladaMW;MdaGarantiaFisicaSEL;VlrEnergiaVendida;VlrPrecoTeto;VlrPrecoLeilao;VlrDesagio;VlrInvestimentoPrevisto;MdaDuracaoContrato;SigUFPrincipal;VlrCotacaoDolar;VlrPrecoTetoDolar;VlrPrecoDolar;VlrInvestimentoDolar;DscEmpresaVencedora
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Irapé;UHE.PH.MG.001146-0;1146;UHE;Hidro;Hidro;360,00;206,30;206,00;125,00;125,00;,00;,00;30;MG;2,17;55,40;57,40;,00;Cemig Geração e Transmissão S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Itá;UHE.PH.RS.001152-5;1152;UHE;Hidro;Hidro;1450,00;720,00;220,00;125,00;124,99;,00;,00;30;RS;2,17;55,40;57,39;,00;Tractebel
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Porto Primavera (Eng° Sérgio Motta);UHE.PH.SP.002127-0;2127;UHE;Hidro;Hidro;1540,00;1017,00;82,00;125,00;124,97;,02;,00;30;MS;2,17;55,40;57,38;,00;Companhia Energética de São Paulo
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Queimado;UHE.PH.MG.002176-8;2176;UHE;Hidro;Hidro;105,00;58,00;47,00;125,00;125,00;,00;,00;30;GO;2,17;55,40;57,40;,00;Cemig Geração e Transmissão S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;São José (AMPLIAÇÃO);UTE.AI.SP.026847-0;26847;UTE;Biomassa;Bagaço de Cana;50,00;28,30;28,00;140,00;134,20;4,14;184640000,00;15;SP;2,17;62,29;61,62;84782808,34;Açucareira Zillo Lorentti S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Barra Grande;UHE.PH.RS.027556-5;27556;UHE;Hidro;Hidro;690,00;380,60;10,00;140,00;127,73;8,76;,00;30;SC;2,17;62,29;58,65;,00;Barra Grande Energia S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Porto Estrela;UHE.PH.MG.027196-9;27196;UHE;Hidro;Hidro;112,00;55,80;18,00;140,00;134,42;3,98;,00;30;MG;2,17;55,40;61,72;,00;Cemig Geração e Transmissão S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Pecém II;UTE.PE.BA.031303-3;31303;UTE;Óleo;Óleo Diesel;140,00;,00;58,00;140,00;134,21;4,13;140000000,00;15;BA;2,17;62,29;61,63;64285058,32;Petrobrás Distribuidora S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Camaçari Muricy II;UTE.PE.BA.031304-1;31304;UTE;Óleo;Óleo Diesel;140,00;,00;58,00;140,00;134,39;4,00;140000000,00;15;BA;2,17;62,29;61,71;64285058,32;Petrobrás Distribuidora S.A.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Palmeiras de Goiás;UTE.PE.GO.001946-1;1946;UTE;Óleo;Óleo Diesel;174,30;69,80;69,00;140,00;137,60;1,71;272969000,00;15;GO;3,20;41,66;42,91;85129892,41;Energia Elétrica do Brasil Ltda.(Transferência de Titularidade Usina Termelétrica Palmeiras de Goiás Ltda. - REA 1220/2008
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Ferrari;UTE.AI.SP.028058-5;28058;UTE;Biomassa;Bagaço de Cana;31,00;8,20;8,00;140,00;138,00;1,42;76816000,00;15;SP;3,20;41,66;43,04;23956338,69;Ferrari Agorindústria Ltda.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Monjolinho;UHE.PH.RS.028562-5;28562;UHE;Hidro;Hidro;67,00;43,10;42,00;140,00;122,63;12,40;,00;30;RS;3,20;41,66;38,24;,00;Monjolinho Energética S.A.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Salto Pilão;UHE.PH.SC.028564-1;28564;UHE;Hidro;Hidro;36,20;21,34;20,00;140,00;135,98;2,87;,00;30;SC;3,20;41,66;42,41;,00;Camargo Corrêa
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Salto Pilão;UHE.PH.SC.028564-1;28564;UHE;Hidro;Hidro;36,20;21,34;20,00;140,00;133,34;4,75;,00;30;SC;3,20;41,66;41,58;,00;DME Energética S.A.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;São Salvador;UHE.PH.TO.028567-6;28567;UHE;Hidro;Hidro;241,00;147,80;148,00;140,00;135,01;3,56;,00;30;TO;3,20;41,66;42,11;,00;Companhia Energética São Salvador
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Quatá (Ampliação);UTE.AI.SP.028288-0;28288;UTE;Biomassa;Bagaço de Cana;60,00;10,50;10,00;140,00;137,00;2,14;109044000,00;15;SP;3,20;41,66;42,73;34007172,93;Açucareira Quatá S.A.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Baia Formosa (Ampliação);UTE.AI.RN.028605-2;28605;UTE;Biomassa;Bagaço de Cana;32,00;11,00;11,00;140,00;137,70;1,64;41359230,00;15;RN;3,20;41,66;42,94;12898559,18;Vale Verde Empreendimentos Agrícolas Ltda.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;do Atlântico;UTE.PE.RJ.029587-6;29587;UTE;Gás;Gás Natural;490,00;419,80;200,00;140,00;136,88;2,22;1205000000,00;15;RJ;3,20;41,66;42,69;375799157,96;Thyssenkrupp CSA Companhia Siderúrgica
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Boa Vista;UTE.AI.GO.029588-4;29588;UTE;Biomassa;Bagaço de Cana;80,00;36,20;11,00;140,00;134,99;3,57;153600000,00;15;GO;3,20;41,66;42,10;47902697,65;Usina Boa Vista S.A.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Dardanelos;UHE.PH.MT.029597-3;29597;UHE;Hidro;Hidro;261,00;154,90;147,00;120,00;112,68;6,09;574133830,00;30;MT;3,20;35,42;35,14;179053120,22;Empresa Energética Águas da Pedra S.A.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Mauá;UHE.PH.PR.029598-1;29598;UHE;Hidro;Hidro;361,00;197,70;195,00;116,35;112,96;2,91;882849520,00;30;PR;3,20;34,29;35,23;275331208,48;Copel Geração e Transmissão S.A.
2022-10-01;2006;2006-10-10;2006/4;3° LEN;A-5;Bonfim;UTE.AI.SP.029665-1;29665;UTE;Biomassa;Bagaço de Cana;59,00;23,40;21,00;140,00;137,60;1,71;116140000,00;15;SP;3,20;41,66;42,91;36220177,76;Barra Bioenergia S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Santa Luzia Alto;PCH.PH.SC.029652-0;29652;PCH;Hidro;Hidro;28,50;18,42;14,00;135,00;135,00;,00;111170550,00;30;SC;1,90;68,87;70,87;58360307,63;Construtora Gomes Lourenço Ltda.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Pedra Furada;PCH.PH.PE.029666-0;29666;PCH;Hidro;Hidro;6,50;3,19;3,00;135,00;134,97;,02;18520000,00;30;PE;1,90;68,87;70,85;9722295,13;Arrara, Koblitz Energia Participações Ltda.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Louis Dreyfus Lagoa da Prata;UTE.AI.MG.029717-8;29717;UTE;Biomassa;Bagaço de Cana;107,20;29,80;19,00;140,00;139,12;,62;60240000,00;15;MG;1,90;71,49;73,03;31623707,28;Louis Dreyfus Commodities Bioenergia S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Louis Dreyfus Rio Brilhante;UTE.AI.MS.029718-6;29718;UTE;Biomassa;Bagaço de Cana;130,00;48,90;22,00;140,00;139,12;,62;53000000,00;15;MS;1,90;71,49;73,03;27822982,83;Louis Dreyfus Commodities Bioenergia S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Iacanga;UTE.AI.SP.029636-8;29636;UTE;Biomassa;Bagaço de Cana;12,00;7,80;4,00;140,00;138,94;,75;20990000,00;15;SP;1,90;71,49;72,94;11018951,13;Usina Iacanga de Açúcar e Álcool S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Xanxerê;UTE.FL.SC.029640-6;29640;UTE;Biomassa;Resíduo avícola;30,00;27,10;25,00;140,00;138,50;1,07;42408700,00;15;SC;1,90;71,49;72,71;22262953,44;Fenix Energy Comercialização e Geração de Energia Elétrica Ltda..
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Pioneiros II;UTE.AI.SP.029642-2;29642;UTE;Biomassa;Bagaço de Cana;50,00;16,90;12,00;140,00;139,12;,62;60240000,00;15;SP;1,90;71,49;73,03;31623707,28;Pioneiros Bioenergia S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Pampeana;PCH.PH.MT.029376-8;29376;PCH;Hidro;Hidro;28,00;20,19;5,00;135,00;135,00;,00;,00;30;MT;1,90;68,87;70,87;,00;Pampeana Energética Ltda.
